Country Name,Series Name,Time,Value
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1996,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1997,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1998,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1999,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2000,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2001,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2002,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2003,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2004,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2005,3
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2006,3
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2007,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2008,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2009,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2010,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2011,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2012,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2013,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2014,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2015,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2016,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2017,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2018,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2019,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2020,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2021,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2022,
Albania,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2023,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1960,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1961,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1962,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1963,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1964,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1965,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1966,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1967,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1968,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1969,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1970,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1971,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1972,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1973,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1974,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1975,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1976,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1977,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1978,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1979,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1980,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1981,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1982,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1983,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1984,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1985,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1986,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1987,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1988,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1989,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1990,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1991,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1992,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1993,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1994,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1995,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1996,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1997,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1998,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1999,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2000,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2001,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2002,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2003,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2004,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2005,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2006,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2007,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2008,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2009,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2010,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2011,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2012,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2013,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2014,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2015,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2016,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2017,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2018,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2019,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2020,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2021,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2022,
Algeria,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2023,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1960,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1961,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1962,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1963,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1964,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1965,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1966,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1967,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1968,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1969,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1970,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1971,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1972,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1973,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1974,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1975,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1976,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1977,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1978,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1979,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1980,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1981,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1982,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1983,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1984,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1985,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1986,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1987,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1988,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1989,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1990,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1991,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1992,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1993,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1994,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1995,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1996,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1997,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1998,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1999,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2000,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2001,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2002,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2003,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2004,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2005,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2006,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2007,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2008,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2009,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2010,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2011,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2012,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2013,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2014,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2015,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2016,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2017,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2018,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2019,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2020,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2021,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2022,
American Samoa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2023,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1960,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1961,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1962,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1963,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1964,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1965,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1966,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1967,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1968,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1969,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1970,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1971,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1972,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1973,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1974,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1975,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1976,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1977,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1978,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1979,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1980,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1981,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1982,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1983,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1984,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1985,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1986,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1987,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1988,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1989,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1990,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1991,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1992,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1993,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1994,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1995,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1996,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1997,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1998,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1999,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2000,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2001,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2002,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2003,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2004,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2005,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2006,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2007,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2008,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2009,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2010,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2011,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2012,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2013,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2014,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2015,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2016,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2017,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2018,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2019,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2020,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2021,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2022,
Andorra,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),2023,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1960,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1961,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1962,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1963,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1964,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1965,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1966,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1967,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1968,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1969,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1970,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1971,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1972,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1973,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1974,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1975,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1976,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1977,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1978,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1979,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1980,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1981,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1982,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1983,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1984,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1985,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1986,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1987,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1988,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1989,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1990,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1991,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1992,
Angola,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1993,
